#SizeGuideID,dimension,Unit,size,value,Category,Brand,Fit,ImgUrl,UsSize,EuroSize,Age,cmsBeltSize,inchesBeltSize,inchesWaistSize,cmsWaistSize,inchesBeltLength
KidsBelt,1,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,3M-6M,46,,18,46,
KidsBelt,2,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,6M-9M,48,,18.5,48,
KidsBelt,3,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,9M-12M,49,,19,49,
KidsBelt,4,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,12M-18M,50,,19.5,50,
KidsBelt,5,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,18M-24M,51,,20,51,
KidsBelt,6,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,2Y-4Y,52,,20-22,52-53,
KidsBelt,7,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,2Y-4Y,53,,20-22,52-53,
KidsBelt,8,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,4Y-6Y,56,,22-23,53-57,
KidsBelt,9,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,6Y-8Y,61,,23-24,57-61,
KidsBelt,10,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,8Y-10Y,63,,24-25,61-64,
KidsBelt,11,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,10Y-12Y,65,,25-26,64-67,
KidsBelt,12,,,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,12Y-14Y,70,,26-29,67-70,
MenBelt,1,,XS,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,70,30,26-28,,28-30
MenBelt,2,,S,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,75,32,28-30,,30-32
MenBelt,3,,M,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,81,34,30-34,,32-36
MenBelt,4,,M,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,85,36,30-34,,32-36
MenBelt,5,,L,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,90,38,34-38,,36-40
MenBelt,6,,L,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,95,40,34-38,,36-40
MenBelt,7,,XL,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,100,44,38-42,,40-44
MenBelt,8,,XL,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,105,46,38-42,,40-44
MenBelt,9,,XXL,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,110,48,42-44,,44-46
WomenBelt,1,,XS,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,70,30,Upto 28,,Upto 32
WomenBelt,2,,S,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,75,32,Upto 28,,Upto 32
WomenBelt,3,,M,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,81,34,28-31,,32-34
WomenBelt,4,,M,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,85,36,28-31,,32-34
WomenBelt,5,,L,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,90,38,34-36,,36-38
WomenBelt,6,,L,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,95,40,34-36,,36-38
WomenBelt,7,,XL,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,100,44,36-38,,38-40
WomenBelt,8,,XL,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,105,46,38-40,,40-42
WomenBelt,9,,XXL,,,,,//assetsst.tataunistore.com/medias/sys_master/images/8832778207262.jpg,,,,110,48,40-42,,42-44
